GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0061003	positive regulation of dendritic spine morphogenesis	BP	e	0.0018431586690238492	1.0	3	229	17	15541	ARMCX5-GPRASP2,GPRASP3,IL1RAPL1	11
GO:2000389	regulation of neutrophil extravasation	BP	e	0.0020994455328672062	1.0	2	229	5	15541	CD99,XG	8
GO:0015961	diadenosine polyphosphate catabolic process	BP	e	0.0020994455328672062	1.0	2	229	5	15541	NUDT10,NUDT11	9
GO:0061824	cytosolic ciliogenesis	BP	e	0.0020994455328672062	1.0	2	229	5	15541	USP9X,WDR44	8
GO:0072683	T cell extravasation	BP	e	0.0020994455328672062	1.0	2	229	5	15541	CD99,XG	8
GO:0031812	P2Y1 nucleotide receptor binding	MF	p	1.0	1.0	0	229	1	15541		6
GO:0034159	regulation of toll-like receptor 8 signaling pathway	BP	e	0.0006422606468357955	1.0	2	229	3	15541	DDX3X,TASL	9
GO:0034161	positive regulation of toll-like receptor 8 signaling pathway	BP	e	0.0006422606468357955	1.0	2	229	3	15541	DDX3X,TASL	10
GO:0071543	diphosphoinositol polyphosphate metabolic process	BP	e	0.001272026200449671	1.0	2	229	4	15541	NUDT10,NUDT11	7
GO:1901907	diadenosine pentaphosphate catabolic process	BP	e	0.001272026200449671	1.0	2	229	4	15541	NUDT10,NUDT11	10
GO:2000391	positive regulation of neutrophil extravasation	BP	e	0.001272026200449671	1.0	2	229	4	15541	CD99,XG	9
GO:0034155	regulation of toll-like receptor 7 signaling pathway	BP	e	0.001272026200449671	1.0	2	229	4	15541	DDX3X,TASL	9
GO:0034157	positive regulation of toll-like receptor 7 signaling pathway	BP	e	0.001272026200449671	1.0	2	229	4	15541	DDX3X,TASL	10
GO:0045726	positive regulation of integrin biosynthetic process	BP	e	0.029254240682076726	1.0	1	229	2	15541	AR	8
GO:0051001	negative regulation of nitric-oxide synthase activity	BP	e	0.029254240682076726	1.0	1	229	2	15541	GLA	6
GO:0010607	negative regulation of cytoplasmic mRNA processing body assembly	BP	e	0.029254240682076726	1.0	1	229	2	15541	NBDY	8
