GO_ID	Category
GO:0001814	immunity
GO:0060300	immunity
GO:0001846	immunity
GO:0002755	immunity
GO:0045659	immunity
GO:0002539	immunity
GO:0008626	immunity
GO:2000406	immunity
GO:0004969	immunity
GO:0051141	immunity
GO:0001755	immunity
GO:0045627	immunity
GO:0043653	immunity
GO:0006911	immunity
GO:0070342	immunity
GO:0061314	immunity
GO:0042494	immunity
GO:0002446	immunity
GO:0045619	immunity
GO:2000562	immunity
GO:0060828	immunity
GO:0002866	immunity
GO:0010745	immunity
GO:0050901	immunity
GO:0140447	immunity
GO:0045123	immunity
GO:0004523	immunity
GO:0014036	immunity
GO:0010667	immunity
GO:0050727	immunity
GO:0030886	immunity
GO:0086100	immunity
GO:0007216	immunity
GO:1902235	immunity
GO:0002407	immunity
GO:1900119	immunity
GO:0007169	immunity
GO:2000448	immunity
GO:0021509	immunity
GO:0097029	immunity
GO:0005175	immunity
GO:0075606	immunity
GO:0051450	immunity
GO:0002731	immunity
GO:0008039	immunity
GO:0006910	immunity
GO:0042288	immunity
GO:0030110	immunity
GO:0034139	immunity
GO:0002273	immunity
GO:0002651	immunity
GO:0002676	immunity
GO:0035685	immunity
GO:0051132	immunity
GO:1990960	immunity
GO:0046651	immunity
GO:0045576	immunity
GO:1902410	immunity
GO:1902228	immunity
GO:0048146	immunity
GO:0097241	immunity
GO:0034392	immunity
GO:0045347	immunity
GO:0061702	immunity
GO:0038110	immunity
GO:0050900	immunity
GO:0050868	immunity
GO:0033382	immunity
GO:0004910	immunity
GO:0002357	immunity
GO:0070782	immunity
GO:0023025	immunity
GO:0002252	immunity
GO:0030099	immunity
GO:0033152	immunity
GO:0070493	immunity
GO:0034124	immunity
GO:0002352	immunity
GO:0002456	immunity
GO:0032687	immunity
GO:0006915	immunity
GO:0051041	immunity
GO:0002675	immunity
GO:0070234	immunity
GO:1901623	immunity
GO:0032689	immunity
GO:0046629	immunity
GO:0003278	immunity
GO:0021955	immunity
GO:0046596	immunity
GO:0005663	immunity
GO:2000529	immunity
GO:2000689	immunity
GO:0070963	immunity
GO:0002265	immunity
GO:0072538	immunity
GO:0042981	immunity
GO:1990410	immunity
GO:0030108	immunity
GO:0007161	immunity
GO:0060333	immunity
GO:0006909	immunity
GO:0036480	immunity
GO:0006958	immunity
GO:0060370	immunity
GO:0032728	immunity
GO:0061296	immunity
GO:0106139	immunity
GO:0002903	immunity
GO:0002840	immunity
GO:0016495	immunity
GO:1904151	immunity
GO:0045344	immunity
GO:0042022	immunity
GO:0097026	immunity
GO:0006929	immunity
GO:0031348	immunity
GO:0010819	immunity
GO:0031737	immunity
GO:0090026	immunity
GO:0045655	immunity
GO:0033592	immunity
GO:0046636	immunity
GO:0050871	immunity
GO:0002666	immunity
GO:0090265	immunity
GO:0019772	immunity
GO:0098760	immunity
GO:1990869	immunity
GO:0070235	immunity
GO:0032003	immunity
GO:0060129	immunity
GO:0042118	immunity
GO:0038109	immunity
GO:0002518	immunity
GO:0001931	immunity
GO:0044194	immunity
GO:0042020	immunity
GO:0001819	immunity
GO:0090720	immunity
GO:0045622	immunity
GO:0001770	immunity
GO:0030263	immunity
GO:0002925	immunity
GO:0044338	immunity
GO:0061756	immunity
GO:0036037	immunity
GO:0033373	immunity
GO:1901030	immunity
GO:0072240	immunity
GO:0034393	immunity
GO:0033151	immunity
GO:0001815	immunity
GO:0046978	immunity
GO:0032397	immunity
GO:0070743	immunity
GO:0007156	immunity
GO:0046696	immunity
GO:0046598	immunity
GO:0160075	immunity
GO:0006930	immunity
GO:0061640	immunity
GO:0032653	immunity
GO:0002864	immunity
GO:0001851	immunity
GO:0090200	immunity
GO:2000342	immunity
GO:0140375	immunity
GO:0010820	immunity
GO:0002333	immunity
GO:0034162	immunity
GO:2000389	immunity
GO:0006303	immunity
GO:0034390	immunity
GO:1903027	immunity
GO:0048009	immunity
GO:0004921	immunity
GO:0002638	immunity
GO:0002718	immunity
GO:0032699	immunity
GO:2000660	immunity
GO:0001867	immunity
GO:0070232	immunity
GO:2000108	immunity
GO:0034097	immunity
GO:0032796	immunity
GO:0036032	immunity
GO:0035701	immunity
GO:0038096	immunity
GO:0038160	immunity
GO:0031018	immunity
GO:0048020	immunity
GO:0097345	immunity
GO:0050728	immunity
GO:0060563	immunity
GO:1900118	immunity
GO:0002486	immunity
GO:0002922	immunity
GO:0002248	immunity
GO:0002606	immunity
GO:0070672	immunity
GO:0060070	immunity
GO:0097011	immunity
GO:0002524	immunity
GO:0097279	immunity
GO:0090716	immunity
GO:0150059	immunity
GO:0035709	immunity
GO:0070346	immunity
GO:0045960	immunity
GO:0002538	immunity
GO:0002756	immunity
GO:0150062	immunity
GO:1902175	immunity
GO:0043304	immunity
GO:0038146	immunity
GO:0038156	immunity
GO:0002319	immunity
GO:0032764	immunity
GO:0034238	immunity
GO:0019724	immunity
GO:0038116	immunity
GO:0140227	immunity
GO:0097050	immunity
GO:0042106	immunity
GO:0034345	immunity
GO:0097343	immunity
GO:0043375	immunity
GO:0002291	immunity
GO:0033081	immunity
