GO_ID	Category
GO:0060041	development
GO:0045585	development
GO:0060064	development
GO:1902257	development
GO:0002089	development
GO:0048484	development
GO:0003344	development
GO:0033327	development
GO:0061193	development
GO:1902036	development
GO:0061153	development
GO:0021592	development
GO:0045200	development
GO:0072079	development
GO:0061373	development
GO:1902811	development
GO:0061053	development
GO:0061452	development
GO:0072224	development
GO:0060434	development
GO:0061548	development
GO:0060688	development
GO:0071895	development
GO:0021569	development
GO:0048793	development
GO:0035904	development
GO:0035239	development
GO:0072107	development
GO:0014813	development
GO:0021678	development
GO:0003167	development
GO:0001755	development
GO:0007495	development
GO:0021544	development
GO:0051152	development
GO:1905330	development
GO:1905457	development
GO:0048699	development
GO:0060023	development
GO:1990403	development
GO:0072133	development
GO:0045664	development
GO:0160021	development
GO:0003433	development
GO:0021763	development
GO:0035910	development
GO:0043376	development
GO:0048704	development
GO:0060577	development
GO:0055059	development
GO:0072073	development
GO:0001657	development
GO:0048639	development
GO:0061003	development
GO:0072012	development
GO:0048839	development
GO:0072061	development
GO:2000026	development
GO:0060385	development
GO:0016942	development
GO:0021691	development
GO:1905652	development
GO:1903703	development
GO:0003203	development
GO:0051891	development
GO:2000727	development
GO:1902263	development
GO:0061030	development
GO:0072249	development
GO:0010470	development
GO:0097070	development
GO:0021541	development
GO:0072240	development
GO:0035136	development
GO:0051151	development
GO:0014004	development
GO:0016332	development
GO:0061006	development
GO:0039020	development
GO:0072498	development
GO:0048715	development
GO:1904018	development
GO:0045844	development
GO:0060836	development
GO:1905312	development
GO:2001205	development
GO:0097677	development
GO:0007431	development
GO:0043382	development
GO:0032823	development
GO:0021530	development
GO:0007387	development
GO:0061051	development
GO:0042668	development
GO:0021831	development
GO:0072044	development
GO:0060945	development
GO:0051798	development
GO:0002053	development
GO:0072300	development
GO:2000826	development
GO:0060443	development
GO:0060854	development
GO:0021575	development
GO:0061048	development
GO:2000172	development
GO:2000737	development
GO:0061145	development
GO:0021687	development
GO:0060039	development
GO:1904888	development
GO:0014904	development
GO:0072143	development
GO:0048821	development
GO:0021587	development
GO:0061549	development
GO:0060667	development
GO:0030326	development
GO:0150064	development
GO:0003195	development
GO:0061184	development
GO:0007525	development
GO:0031129	development
GO:1904157	development
GO:0007528	development
GO:1990700	development
GO:0048073	development
GO:0007403	development
GO:0110157	development
GO:1904747	development
GO:1904178	development
GO:0009855	development
GO:0000578	development
GO:0048702	development
GO:0035666	development
GO:0007296	development
GO:0002071	development
GO:0072230	development
GO:0072287	development
GO:0071542	development
GO:0009913	development
GO:0030916	development
GO:0003252	development
GO:1905072	development
GO:0048705	development
GO:2000386	development
GO:0035881	development
GO:0031076	development
GO:0002074	development
GO:0045595	development
GO:0003180	development
GO:0021889	development
GO:0030224	development
GO:0039537	development
GO:0001890	development
GO:0003417	development
GO:0120222	development
GO:0030854	development
GO:0035912	development
GO:0060972	development
GO:0040008	development
GO:0048644	development
GO:0021692	development
GO:0040038	development
GO:0060033	development
GO:0002573	development
GO:0048337	development
GO:0060672	development
GO:0007281	development
GO:0060742	development
GO:0061374	development
GO:0001741	development
GO:2000357	development
GO:0060538	development
GO:0040019	development
GO:0003222	development
GO:0060661	development
GO:0021508	development
GO:0097324	development
GO:0031016	development
GO:0060363	development
GO:0045684	development
GO:2000607	development
GO:0045066	development
GO:0021723	development
GO:0009048	development
GO:0090183	development
GO:0045634	development
GO:2000795	development
GO:0045976	development
GO:0035989	development
GO:0008210	development
GO:0048850	development
GO:0048714	development
GO:1903011	development
GO:0061074	development
GO:0072015	development
GO:0048546	development
GO:0014044	development
GO:0061520	development
GO:0072674	development
GO:0030237	development
GO:0051147	development
